State,PVI
AL,R+14
AK,R+12
AZ,R+7
AR,R+14
CA,D+9
CO,D+1
CT,D+7
DE,D+8
FL,R+2
GA,R+6
HI,D+20
ID,R+18
IL,D+8
IN,R+5
IA,D+1
KS,R+12
KY,R+13
LA,R+12
ME,D+6
MD,D+10
MA,D+10
MI,D+4
MN,D+2
MS,R+9
MO,R+5
MT,R+7
NE,R+12
NV,D+2
NH,D+1
NJ,D+6
NM,D+4
NY,D+11
NC,R+3
ND,R+10
OH,R+1
OK,R+19
OR,D+5
PA,D+1
RI,D+11
SC,R+8
SD,R+10
TN,R+12
TX,R+10
UT,R+22
VT,D+16
VA,EVEN
WA,D+5
WV,R+13
WI,D+2
WY,R+22
